gid,award_rank,award_votes,award_category,award_year,pages,date_published
8306857,1,10159,Favorite Book of 2011,2011,487,2011-04-25
7304203,2,8970,Favorite Book of 2011,2011,608,2011-01-18
10664113,3,7617,Favorite Book of 2011,2011,1125,2011-07-12
6752378,4,7535,Favorite Book of 2011,2011,425,2011-04-05
9418327,5,6287,Favorite Book of 2011,2011,283,2011-04-05
1215032,6,5859,Favorite Book of 2011,2011,994,2011-03-01
8667848,7,4833,Favorite Book of 2011,2011,579,NA
9460487,8,4254,Favorite Book of 2011,2011,352,NA
7686667,9,3754,Favorite Book of 2011,2011,441,2011-02-03
7981206,10,3300,Favorite Book of 2011,2011,336,2011-05-28
9409458,11,1732,Favorite Book of 2011,2011,390,2011-07-12
8554005,12,1718,Favorite Book of 2011,2011,466,2011-03-01
9118135,13,1347,Favorite Book of 2011,2011,353,2011-06-07
8683812,14,1339,Favorite Book of 2011,2011,314,2011-02-27
8652190,15,1319,Favorite Book of 2011,2011,290,2011-01-04
9361589,16,1293,Favorite Book of 2011,2011,391,2011-09-13
9520360,17,1137,Favorite Book of 2011,2011,521,2011-10-04
8709527,18,815,Favorite Book of 2011,2011,421,2011-08-23
8490112,19,683,Favorite Book of 2011,2011,418,2011-09-27
9969571,20,613,Favorite Book of 2011,2011,374,2011-08-16
10357575,1,4107,Fiction,2011,925,2011-10-25
8546358,2,3948,Fiction,2011,273,2011-03-22
8554005,3,3676,Fiction,2011,466,2011-03-01
8949352,4,3245,Fiction,2011,385,2011-03-22
9279177,5,3000,Fiction,2011,211,2011-01-04
9118135,6,2204,Fiction,2011,353,2011-06-07
8366402,7,2192,Fiction,2011,338,2011-03-08
10032672,8,1867,Fiction,2011,323,2011-08-23
10964693,9,1827,Fiction,2011,406,2011-10-11
9545064,10,1661,Fiction,2011,346,2011-05-04
10996342,11,601,Fiction,2011,512,2011-09-07
11804738,12,568,Fiction,2011,163,2011-10-11
10059498,13,553,Fiction,2011,417,2011-04-26
9443405,14,516,Fiction,2011,548,2011-04-15
10364994,15,273,Fiction,2011,300,2011-08-16
9749711,16,248,Fiction,2011,352,2011-05-24
9923372,17,170,Fiction,2011,388,2011-06-14
10762469,18,167,Fiction,2011,355,2011-08-30
8584686,19,167,Fiction,2011,323,2011-02-01
9658159,20,107,Fiction,2011,348,2011-07-05
9583508,1,3996,Mystery & Thriller,2011,308,2011-06-21
10402992,2,3251,Mystery & Thriller,2011,14,2011-09-13
9736930,3,3114,Mystery & Thriller,2011,359,2011-06-14
8517008,4,2827,Mystery & Thriller,2011,399,2011-02-08
10552338,5,2531,Mystery & Thriller,2011,1044,2011-09-20
9166559,6,1989,Mystery & Thriller,2011,337,2011-01-18
10169662,7,1903,Mystery & Thriller,2011,410,2011-07-05
7926569,8,1821,Mystery & Thriller,2011,359,2011-06-27
